Ion,wave_air,wave_vac,primary
NeVIII,769.425,770.409,0
NeVIII,779.362,780.324,0
Lyε,937.083,937.814,0
Lyδ,949.022,949.742,0
CIII,976.333,977.03,0
NIII,989.102,989.79,0
NIII,990.827,991.514,0
NIII,990.892,991.579,0
Lyβ,1025.058,1025.722,1
OVI,1031.251,1031.912,1
OVI,1036.956,1037.613,1
ArI,1066.018,1066.66,0
Lyα,1215.076,1215.67,1
NV,1238.231,1238.821,0
NV,1242.215,1242.804,1
SiII,1259.835,1260.422,0
SiII,1264.144,1264.73,0
OI,1301.586,1302.168,1
CII,1333.953,1334.532,0
CII,1335.129,1335.708,0
SiIV,1393.178,1393.755,0
OIV],1396.655,1397.232,0
OIV],1399.203,1399.78,0
SiIV,1402.193,1402.77,0
NIV],1485.917,1486.496,0
CIV,1547.604,1548.187,1
CIV,1550.189,1550.772,1
HeII,1639.829,1640.42,0
OIII],1660.216,1660.809,0
OIII],1665.556,1666.15,0
NIII],1746.218,1746.823,0
NIII],1748.051,1748.656,0
AlIII,1854.095,1854.716,0
AlIII,1862.167,1862.79,0
SiIII],1891.402,1892.03,0
CIII],1908.104,1908.734,1
NII],2142.78,2143.455,0
[OIII],2320.951,2321.664,0
CII],2323.5,2324.214,0
CII],2324.69,2325.404,1
[FeXI],2648.71,2649.499,0
HeII,2733.289,2734.098,0
[MgV],2782.7,2783.521,0
MgII],2795.528,2796.352,1
MgII],2802.705,2803.531,1
[FeIV],2829.36,2830.192,0
[FeIV],2835.74,2836.574,0
[ArIV],2853.67,2854.508,0
[ArIV],2868.21,2869.052,0
[MgV],2928,2928.857,0
HeI,2945.106,2945.967,0
OIII,3132.794,3133.702,1
HeI,3187.745,3188.667,0
HeII,3203.1,3204.026,0
OIII,3312.329,3313.282,0
[NeV],3345.821,3346.783,1
[NeV],3425.881,3426.863,1
OIII,3444.052,3445.039,0
[NI],3466.497,3467.49,0
[NI],3466.543,3467.536,0
HeI,3487.727,3488.725,0
[FeVII],3586.32,3587.344,0
[FeVI],3662.5,3663.543,0
H19,3686.831,3687.881,0
H18,3691.551,3692.602,0
H17,3697.157,3698.209,0
H16,3703.859,3704.913,0
H15,3711.977,3713.033,0
H14,3721.945,3723.004,0
[OII],3726.032,3727.092,1
[OII],3728.815,3729.875,1
H13,3734.369,3735.431,0
H12,3750.158,3751.224,0
[FeVII],3758.92,3759.988,0
H11,3770.637,3771.708,0
H10,3797.904,3798.982,0
H9,3835.391,3836.479,0
[FeV],3839.27,3840.359,0
[NeIII],3868.76,3869.857,0
HeI,3888.647,3889.749,1
H8,3889.064,3890.166,0
[FeV],3891.28,3892.383,0
[FeV],3911.33,3912.438,0
K,3933.66,3934.773,1
[NeIII],3967.47,3968.593,1
H,3968.47,3969.593,1
Hε,3970.079,3971.202,0
HeI,4026.19,4027.328,0
[SII],4068.6,4069.749,1
[FeV],4071.24,4072.39,0
[SII],4076.349,4077.5,0
Hδ,4101.742,4102.9,1
HeI,4143.761,4144.93,0
FeII,4178.862,4180.04,0
[FeV],4180.6,4181.778,0
[FeV],4227.19,4228.381,0
FeII,4233.172,4234.364,0
[FeII],4287.394,4288.6,0
FeII,4303.176,4304.387,0
G-band,4304.398,4305.61,1
OII,4317.139,4318.353,0
Hγ,4340.471,4341.691,1
[OIII],4363.21,4364.436,1
[ArXIV],4412.3,4413.539,0
OII,4414.899,4416.139,0
FeII,4416.83,4418.07,0
[FeII],4452.098,4453.348,0
HeI,4471.479,4472.734,0
FeII,4489.183,4490.443,0
FeII,4491.405,4492.665,0
NIII,4510.91,4512.175,0
FeII,4522.634,4523.902,0
FeII,4555.893,4557.17,0
FeII,4582.835,4584.119,0
FeII,4583.837,4585.122,0
FeII,4629.339,4630.636,0
NIII,4634.14,4635.438,0
NIII,4640.64,4641.94,0
NIII,4641.85,4643.15,0
CIII,4647.42,4648.721,0
CIII,4650.25,4651.552,0
CIII,4651.47,4652.772,0
[FeIII],4658.05,4659.354,0
HeII,4685.71,4687.021,0
[ArIV],4711.26,4712.578,0
[ArIV],4740.12,4741.446,0
Hβ,4861.333,4862.691,1
[FeVII],4893.37,4894.736,0
[FeIV],4903.07,4904.439,0
FeII,4923.927,4925.302,0
[OIII],4958.911,4960.295,1
[OIII],5006.843,5008.24,1
FeII,5018.44,5019.84,0
[FeIII],5084.77,5086.187,0
[FeVI],5145.75,5147.184,0
[FeVII],5158.89,5160.327,0
FeII,5169.033,5170.473,1
Mg,5175.257,5176.7,1
[FeVI],5176.04,5177.482,0
FeII,5197.577,5199.024,0
[NI],5200.257,5201.705,1
FeII,5234.625,5236.082,1
[FeIV],5236.06,5237.518,0
[FeIII],5270.4,5271.867,0
FeII,5276.002,5277.47,0
[FeVII],5276.38,5277.848,0
[FeXIV],5302.86,5304.335,0
[CaV],5309.11,5310.587,1
FeII,5316.615,5318.094,0
FeII,5316.784,5318.263,0
[FeVI],5335.18,5336.664,0
[FeVI],5424.22,5425.728,0
[ClIII],5517.709,5519.242,0
[ClIII],5537.873,5539.411,0
[FeVI],5637.6,5639.165,0
[FeVI],5677,5678.575,0
